company_name,company_website,contact_email,contact_phone,contact_place_street,contact_place_city,contact_place_state,contact_place_country,contact_place_postal_code,social_links
gafisa.com.br,https://www.gafisa.com.br,"['relacionamento@gafisa.com.br', 'ri@gafisa.com.br']","['+551130259000', '+558001119000', '+551130908989', '+551130259210']",,,,,,https://api.whatsapp.com/send?phone=551130908989&text= | https://www.instagram.com/gafisa/ | https://www.facebook.com/gafisa | https://www.linkedin.com/company/36155/ | https://twitter.com/gafisa | https://www.youtube.com/channel/UCjdvK-jhuEsB9m5o4p61XDA | http://www.resguarda.com/canaldedenuncia.gafisa
construtoraplaneta.com.br,https://www.construtoraplaneta.com.br,[],['+551533329696'],"Rua Octaviano Gozzano, 325 - 12º andar",Sorocaba,SP,Brasil,,https://api.whatsapp.com/send/?phone=551533329696&text&type=phone_number&app_absent=0 | https://planeta.cvcrm.com.br/cliente/ | https://api.whatsapp.com/send?phone=5515988262617 | https://www.canalintegro.com.br/ConstrutoraPlaneta
yuny.com.br,https://www.yuny.com.br,"['privacidade@yuny.com.br', 'fraude@yuny.com.br', 'atendimento@yuny.com.br']","['+551135302900', '+558005911982', '+551130451234', '+551130451234', '+551135302900', '+551130184000']",,,,,,https://api.whatsapp.com/send?phone=5511985470453&text=Ol%C3%A1!%20Quero%20saber%20mais%20sobre%20os%20empreendimentos%20que%20vi%20no%20site%20da%20Yuny. | https://www.facebook.com/YunyIncorporadora/ | https://br.linkedin.com/company/yuny-incorporadora | https://www.youtube.com/yunyincorporadora | https://www.instagram.com/yunyincorporadora/ | https://api.whatsapp.com/send?phone=5511912767006&text=Ol%C3%A1!%20Quero%20saber%20mais%20sobre%20os%20empreendimentos%20que%20vi%20no%20site%20da%20Yuny. | https://www.canaldeetica.com.br/yuny/ | https://www.clienteyuny.com.br:82/ | https://yunylab.com.br/ | https://www.yunyvendas.com.br/portal-do-corretor
focomagazine.com.br,https://www.focomagazine.com.br,['contato@focomagazine.com.br'],['+553535216153'],"Rua Coronel João de Barros, 360",Passos,MG,Brazil,,https://facebook.com/focomagazine | https://instagram.com/focomagazine
insidearquitetura.com.br,https://insidearquitetura.com.br,"['ola@insidearquitetura.com.br', 'grupo@insidearquitetura.com.br', 'financeiro@insidearquitetura.com.br']","['+551131356454', '+551131356454', '+55119999515853']","R. Fidêncio Ramos, 100 - Sala R134",São Paulo,SP,Brasil,04551-010,https://api.whatsapp.com/send?1=pt_BR&phone=5511999515853 | https://www.facebook.com/pages/Inside-Design-de-Interiores/395930840423571 | https://www.instagram.com/insidearquiteturaedesign/ | https://www.youtube.com/c/insidearquiteturaedesign | https://br.pinterest.com/insidearquiteturaedesign/ | https://www.houzz.com/pro/insidearquiteturaedesign
iclnoticias.com.br,https://iclnoticias.com.br,['contato@institutoliberta.com.br'],[],,,,,,https://api.whatsapp.com/send?text=Juliana%20Marins%2C%20brasileira%20que%20caiu%20em%20trilha%20de%20vulc%C3%A3o%20na%20Indon%C3%A9sia%2C%20%C3%A9%20encontrada%20morta | https://www.facebook.com/sharer.php?u=https://iclnoticias.com.br/juliana-marins-brasileira-que-caiu-em-trilha-de-vulcao-na-indonesia-e-encontrada-morta/&t=Juliana%20Marins%2C%20brasileira%20que%20caiu%20em%20trilha%20de%20vulc%C3%A3o%20na%20Indon%C3%A9sia%2C%20%C3%A9%20encontrada%20morta | https://twitter.com/intent/tweet?text=Juliana%20Marins%2C%20brasileira%20que%20caiu%20em%20trilha%20de%20vulc%C3%A3o%20na%20Indon%C3%A9sia%2C%20%C3%A9%20encontrada%20morta&url=https://iclnoticias.com.br/?p=79240 | https://www.linkedin.com/shareArticle?mini=true&title=Juliana%20Marins%2C%20brasileira%20que%20caiu%20em%20trilha%20de%20vulc%C3%A3o%20na%20Indon%C3%A9sia%2C%20%C3%A9%20encontrada%20morta&url=https://iclnoticias.com.br/juliana-marins-brasileira-que-caiu-em-trilha-de-vulcao-na-indonesia-e-encontrada-morta/ | https://api.whatsapp.com/send?text=Hist%C3%B3rico%20militar%20eleva%20press%C3%A3o%20sobre%20tenente-coronel%20Cid%20em%20acarea%C3%A7%C3%A3o%20com%20general%20Braga%20Netto | https://www.facebook.com/sharer.php?u=https://iclnoticias.com.br/cid-braga-netto-acareacao-trama-golpista/&t=Hist%C3%B3rico%20militar%20eleva%20press%C3%A3o%20sobre%20tenente-coronel%20Cid%20em%20acarea%C3%A7%C3%A3o%20com%20general%20Braga%20Netto | https://twitter.com/intent/tweet?text=Hist%C3%B3rico%20militar%20eleva%20press%C3%A3o%20sobre%20tenente-coronel%20Cid%20em%20acarea%C3%A7%C3%A3o%20com%20general%20Braga%20Netto&url=https://iclnoticias.com.br/?p=79193 | https://www.linkedin.com/shareArticle?mini=true&title=Hist%C3%B3rico%20militar%20eleva%20press%C3%A3o%20sobre%20tenente-coronel%20Cid%20em%20acarea%C3%A7%C3%A3o%20com%20general%20Braga%20Netto&url=https://iclnoticias.com.br/cid-braga-netto-acareacao-trama-golpista/ | https://api.whatsapp.com/send?text=%E2%80%98Dia%20e%20noite%20aguardando%20fogo%E2%80%99%3A%20brigadistas%20enfrentam%20inc%C3%AAndios%C2%A0em%C2%A0Corumb%C3%A1%20%28MS%29 | https://www.facebook.com/sharer.php?u=https://iclnoticias.com.br/dia-e-noite-aguardando-fogo-brigadistas/&t=%E2%80%98Dia%20e%20noite%20aguardando%20fogo%E2%80%99%3A%20brigadistas%20enfrentam%20inc%C3%AAndios%C2%A0em%C2%A0Corumb%C3%A1%20%28MS%29 | https://twitter.com/intent/tweet?text=%E2%80%98Dia%20e%20noite%20aguardando%20fogo%E2%80%99%3A%20brigadistas%20enfrentam%20inc%C3%AAndios%C2%A0em%C2%A0Corumb%C3%A1%20%28MS%29&url=https://iclnoticias.com.br/?p=79255 | https://www.linkedin.com/shareArticle?mini=true&title=%E2%80%98Dia%20e%20noite%20aguardando%20fogo%E2%80%99%3A%20brigadistas%20enfrentam%20inc%C3%AAndios%C2%A0em%C2%A0Corumb%C3%A1%20%28MS%29&url=https://iclnoticias.com.br/dia-e-noite-aguardando-fogo-brigadistas/ | https://www.instagram.com/p/DLSUBueOQaQ/?utm_source=ig_embed&utm_campaign=loading
arqstyle.com.br,https://arqstyle.com.br,['contato@arqstyle.com.br'],['+5519992386522'],"Rua das Orquídeas, nº 859",Indaiatuba,São Paulo,Brazil,,https://wa.me/5519992386522?text=%5BSite%5D%20Ol%C3%A1%2C%20gostaria%20de%20solicitar%20um%20or%C3%A7amento%20com%20voc%C3%AAs! | https://www.instagram.com/arq.style/ | https://www.facebook.com/studio.arqstyle | https://www.youtube.com/@arqstyle | https://www.linkedin.com/company/arqstyle-arquitetura-design/ | https://twitter.com/arqstyle
bovearquitetura.com.br,https://bovearquitetura.com.br,['contato@bovearquitetura.com.br'],['+5511983225918'],,São Paulo,SP,Brazil,,https://api.whatsapp.com/send?phone=5511983225918&text=sua%20mensagem | https://api.whatsapp.com/send?phone=5511983225918&text=Gostaria de um orçamento
teses.usp.br,https://teses.usp.br,[],[],"R. da Reitoria, 374 – Cidade Universitária, Butantã",São Paulo,SP,Brasil,05508-220,https://www.facebook.com/usponline | https://twitter.com/usponline | https://www.linkedin.com/school/universidade-de-s-o-paulo/ | https://www.instagram.com/usp.oficial/ | https://www.youtube.com/channel/UCN1ihdoKXeixzYi7Hyp4WwQ | https://www.youtube.com/canalusp
meusensia.com.br,https://meusensia.com.br/,[],[],,,,Brazil,,https://api.whatsapp.com/send | https://www.instagram.com/meusensia | https://www.youtube.com/meusensia | https://www.facebook.com/meusensia | https://www.mrv.com.br/institucional/pt/pessoas/trabalhe-conosco
