company_name,company_website,contact_email,contact_phone,contact_place_street,contact_place_city,contact_place_state,contact_place_country,contact_place_postal_code,social_links,description
brennandenergia.com.br,https://www.brennandenergia.com.br/,,+558121377000 | +551138113190,"Av. Engenheiro Domingos Ferreira, 2589, 8º andar",Recife,PE,Brasil,51.020-031,https://api.whatsapp.com/send?phone=558121377000,"Brennand Energia is a Brazilian company that produces and commercializes renewable energy. It operates small hydroelectric plants and wind farms with a total installed capacity of 526 MW, focusing on sustainable development and supporting socio-cultural and environmental preservation programs."
intercityhoteis.com.br,https://www.intercityhoteis.com.br/,reservas@intercityhoteis.com.br | reservas.7desetembro@intercityhoteis.com.br | reservas.bauru@intercityhoteis.com.br | reservas.berrini@intercityhoteis.com.br | reservas.cg@intercityhoteis.com.br | reservas.citymix@cirne.com.br | reservas.canoas@intercityhoteis.com.br | reservas.cb@intercityhoteis.com.br | reservas.curitiba@intercityhoteis.com.br | reservas.ibp@intercityhoteis.com.br | reservas.itupeva@intercityhoteis.com.br | reservas.maceio@intercityhoteis.com.br | reservas.nacoes@intercityhoteis.com.br | reservas.patiopinda@intercityhoteis.com.br | reservas.paulista@intercityhoteis.com.br | reservas.portomaravilha@intercityhoteis.com.br | reservas.ribeirao@intercityhoteis.com.br | reservas.saoleopoldo@intercityhoteis.com.br | reservas.gravatai@intercityhoteis.com.br | reservas.tatuape@intercityhoteis.com.br | reservas.vinhedo@intercityhoteis.com.br | reservas@yoo2rio.com.br | comercial@hotelbavaria.com | reservas.aeropoa@intercityhoteis.com.br,+551131654111 | +555432861362 | +558530891400 | +555133257700 | +556237016000 | +551138556300 | +551432015900 | +551138784500 | +553133075800 | +558330779900 | +555125005060 | +555430261000 | +555133032400 | +556530259900 | +554134348000 | +554134113001 | +554830272200 | +551135777100 | +551126273200 | +551142901040 | +556132048600 | +558233120040 | +559233031330 | +553821019700 | +551151896555 | +551221263000 | +551131236200 | +552131951385 | +554831125200 | +555130229100 | +551635144100 | +557130387200 | +557133112700 | +555131035040 | +555135334800 | +558130592020 | +551135468000 | +552127414000 | +551132986600 | +551938566000 | +551721367400 | +555130189500 | +555432957200 | +554835125800 | +552134452000 | +554721018500 | +555130257700 | +551131654119 | +554121112000 | +3002107700 | +1151986936,"Rua Amauri, 513",São Paulo,SP,Brazil,01448-000,https://facebook.com/intercityhotels | http://instagram.com/intercity.hotels | https://www.linkedin.com/company/intercity-hot-is/ | https://wa.me/555132017700,"Intercity Hotels is a hotel chain focused on providing quality accommodation and value for money in various destinations in Brazil and worldwide. The hotels are known for their strategic location in urban and business centers, and for offering amenities such as breakfast, Wi-Fi, and leisure areas. Intercity is committed to sustainability and animal welfare and offers loyalty programs and promotions."
telediu.com.br,https://telediu.com.br,,+553132222107,"Rua dos Aimorés, 487",Belo Horizonte,MG,BR,30140-070,https://www.facebook.com/telediuginecenter/ | https://instagram.com/telediubr | https://wa.me/553132222107,"Telediu is a medical center located in Belo Horizonte, Brazil, specializing in gynecology. They provide services such as IUD insertion and other gynecological treatments."
franquias.ultraacademia.com.br,https://franquias.ultraacademia.com.br/,marketing@ultraacademia.com.br,+5511989351233,,,,Brazil,,https://www.linkedin.com/company/grupo-ultra-academias/ | https://www.instagram.com/ultra_academias | https://www.facebook.com/ultra.academias | https://www.youtube.com/channel/UCh2YMdhWe2dWtAslvzYDWcg | https://wa.me/5511989351233,Ultra Academia is a Brazilian fitness franchise offering a modern gym environment focused on results and well-being. They are seeking investors and franchisees to expand their market presence with accessible investment models.
ecoberrini.com.br,https://ecoberrini.com.br/,sindico@ecoberrini.com.br,,"Av. Engenheiro Luiz Carlos Berrini, 1376",São Paulo,SP,Brazil,04571-936,,"Eco Berrini is a LEED Platinum certified sustainable office building located in São Paulo, Brazil. It offers modern facilities, parking, bicycle storage, and convenient access to services and public transportation in a prime location."
globalfarma.com.br,https://www.globalfarma.com.br,sac@globalfarma.com.br,+551120904777 | +5511915504777,"Rua Diamante Preto, 413",São Paulo,SP,Brazil,03317-040,https://www.facebook.com/globalfarmamedicamentos/ | https://www.linkedin.com/in/global-farma-b084b0231/ | https://api.whatsapp.com/message/J73X6HE2JRZFD1?autoload=1&app_absent=0 | https://wa.me//5511915504777,"Global Farma is a pharmacy located in São Paulo, Brazil, offering a wide range of health and wellness products including medications, dermocosmetics, hygiene products, and orthopedics. They serve individuals, health plans, clinics, and hospitals, focusing on patient safety and pharmaceutical care. They also provide services to businesses, such as setting up medical clinics."
queixaescolargiqe.com,https://www.queixaescolargiqe.com/,queixaescolar.giqe@gmail.com,,,,,Brazil,,,"The Grupo Interinstitucional Queixa Escolar (GIQE) is a group of psychologists in Brazil focused on researching and developing actions to address school complaints. They promote inclusive education through meetings, publications, and events, collaborating with the Psychology Councils System and other organizations."
ultraacademia.com.br,https://ultraacademia.com.br/,marketing@ultraacademia.com.br,+5511989351233,,,,Brazil,,https://www.facebook.com/ultra.academias | https://www.instagram.com/ultra_academias | https://www.youtube.com/channel/UCh2YMdhWe2dWtAslvzYDWcg | https://www.linkedin.com/company/grupo-ultra-academias | https://wa.me/5511989351233,"Ultra Academia is a Brazilian fitness center chain focused on well-being, offering activities like ballet, yoga, and dance. They also offer franchise opportunities and are part of the Ultra group, which includes other fitness brands, aiming for transformation through physical activity with various business models."
spxcapital.com,https://www.spxcapital.com,ri@spxcapital.com | ri.real.estate@spxcapital.com | ri.private.equity@spxcapital.com | privacidade@spxcapital.com,+442039110640 | +551135087500 | +552132031550 | +12123865810 | +351211452180 | +6567151864 | +551125037525 | +5521991189393,"1 New Burlington Place, 4th Floor",London,,United Kingdom,W1S 2HR,https://www.linkedin.com/company/spx-capital/ | https://www.youtube.com/channel/UC-b_1h6ki5zqn8v5d6aBbmg/featured | https://www.instagram.com/spxcapital/ | https://spe.tbe.taleo.net/spe01/ats/careers/v2/jobSearch?org=U2K2Y2&cws=44 | https://relatoconfidencial.com.br/spxcapital/ | https://unitri.com.br | https://www.agorainvestimentos.com.br/ | https://www.ativainvestimentos.com.br/ | https://www.bb.com.br/site/ | https://www.btgpactual.com/ | https://www.c6bank.com.br/ | https://www.daycoval.com.br/ | https://eqiasset.com.br/ | https://www.genialinvestimentos.com.br/ | https://inter.co/ | https://www.itau.com.br/ | https://ion.itau/ | https://corretora.miraeasset.com.br/ | https://nubank.com.br/ | https://www.rbinvestimentos.com/ | https://www.terrainvestimentos.com.br/ | https://www.toroinvestimentos.com.br/ | https://warren.com.br/ | https://www.xpi.com.br/ | https://www.institutoorizon.org/ | https://ambikira.org.br/,"SPX Capital, founded in 2010, is a global asset manager focused on delivering attractive returns to its investors. It operates across multiple business lines, including multi-strategy, equities, and credit, with offices in Brazil, London, New York, Cascais and Singapore. SPX emphasizes a meritocratic partnership, robust investment processes, and ethical values."
carpafamilyoffice.com,https://carpafamilyoffice.com/,contato@carpafamilyoffice.com,+551156332766 | +552125252766,"Av. Brigadeiro Faria Lima, 4300, 3º andar, Cj. 31",São Paulo,SP,Brazil,04538-132,https://www.linkedin.com/company/carpa-familyoffice/ | https://www.instagram.com/carpafamilyoffice/ | https://api.whatsapp.com/send/?phone=551156332764&text=Ol%C3%A1.+Desejo+mais+informa%C3%A7%C3%B5es&app_absent=0,"Carpa Family Office is a multi-family office providing integrated wealth management and personalized solutions for families, including investments and lifestyle services. They operate with a single-family office concept and have offices in São Paulo and Rio de Janeiro."
